NDV_values,CRC_values,date,type
0.18527316,48.241558,2019-03-31,587
0.17416379,55.594284,2019-03-31,587
0.17294118,53.61232,2019-03-31,587
0.18198198,45.544655,2019-03-31,587
0.18138425,46.503464,2019-03-31,588
0.18857823,48.585888,2019-03-31,588
0.16976744,51.187717,2019-03-31,588
0.1744186,49.39671,2019-03-31,588
0.18600583,51.424294,2019-03-31,588
0.16987741,46.5107,2019-03-31,588
0.17213586,51.58885,2019-03-31,588
0.17434402,53.139183,2019-03-31,588
0.1810295,48.619663,2019-03-31,588
0.18362573,49.145092,2019-03-31,588
0.6787987,0.0,2019-04-30,525
0.6986987,0.0,2019-04-30,525
0.6906907,0.0,2019-04-30,525
0.7458177,0.0,2019-04-30,525
0.74482757,0.0,2019-04-30,525
0.7261084,0.0,2019-04-30,525
0.75043416,0.0,2019-04-30,525
0.7705564,0.0,2019-04-30,525
0.7436409,0.0,2019-04-30,525
0.7331349,0.0,2019-04-30,525
0.6961059,0.0,2019-04-30,526
0.75846386,0.0,2019-04-30,526
0.7665647,0.0,2019-04-30,526
0.7531742,0.0,2019-04-30,526
0.7386506,0.0,2019-04-30,526
0.7202977,0.0,2019-04-30,526
0.7314931,0.0,2019-04-30,526
0.7029502,0.0,2019-04-30,526
0.72198224,0.0,2019-04-30,526
0.7145764,0.0,2019-04-30,526
0.7294118,0.0,2019-04-30,527
0.72131956,0.0,2019-04-30,527
0.83849806,0.0,2019-04-30,527
0.760117,0.0,2019-04-30,527
0.73186594,0.0,2019-04-30,527
0.78125,0.0,2019-04-30,527
0.7927711,0.0,2019-04-30,527
0.77660596,0.0,2019-04-30,527
0.73849523,0.0,2019-04-30,527
0.66860026,0.0,2019-04-30,527
0.7316017,0.0,2019-04-30,528
0.73516893,0.0,2019-04-30,528
0.75166625,0.0,2019-04-30,528
0.69298023,0.0,2019-04-30,528
0.71164227,0.0,2019-04-30,528
0.7859209,0.0,2019-04-30,528
0.72916144,0.0,2019-04-30,528
0.64089257,0.0,2019-04-30,528
0.7343905,0.0,2019-04-30,528
0.74695504,0.0,2019-04-30,528
0.34932533,0.0,2019-04-30,529
0.35177866,0.0,2019-04-30,529
0.33804238,0.0,2019-04-30,529
0.32493702,0.0,2019-04-30,529
0.3346754,0.0,2019-04-30,529
0.3868836,0.0,2019-04-30,529
0.34067035,0.0,2019-04-30,529
0.35196078,0.0,2019-04-30,529
0.35767883,0.0,2019-04-30,529
0.3350228,0.0,2019-04-30,529
0.3038961,0.0,2019-04-30,585
0.31149247,0.0,2019-04-30,585
0.3379092,0.0,2019-04-30,585
0.32780942,0.0,2019-04-30,585
0.33767644,0.0,2019-04-30,585
0.31631058,0.0,2019-04-30,585
0.3312068,0.0,2019-04-30,585
0.31633207,0.0,2019-04-30,585
0.3174946,0.0,2019-04-30,585
0.3329843,0.0,2019-04-30,585
0.8188455,0.0,2019-04-30,586
0.8654934,0.0,2019-04-30,586
0.77715486,0.0,2019-04-30,586
0.62080765,0.0,2019-04-30,586
0.81038064,0.0,2019-04-30,586
0.8319253,0.0,2019-04-30,586
0.79244834,0.0,2019-04-30,586
0.8352941,0.0,2019-04-30,586
0.83096087,0.0,2019-04-30,586
0.8206043,0.0,2019-04-30,586
0.19757688,60.0376,2019-04-30,587
0.4944238,0.0,2019-04-30,587
0.18294497,37.395294,2019-04-30,587
0.1810089,35.09628,2019-04-30,587
0.18810916,40.195473,2019-04-30,587
0.19385226,34.99892,2019-04-30,587
0.18852054,40.195473,2019-04-30,587
0.17565562,43.022533,2019-04-30,587
0.19570522,44.25447,2019-04-30,587
0.1830291,34.819775,2019-04-30,587
0.17785399,33.890026,2019-04-30,588
0.17117117,33.829025,2019-04-30,588
0.17412451,40.334736,2019-04-30,588
0.16666667,37.34191,2019-04-30,588
0.16202784,40.490833,2019-04-30,588
0.16207063,35.91202,2019-04-30,588
0.1734104,40.41369,2019-04-30,588
0.17183654,42.448864,2019-04-30,588
0.17365853,35.568863,2019-04-30,588
0.16617502,38.04314,2019-04-30,588
0.8507332,0.0,2019-05-15,525
0.8480511,0.0,2019-05-15,525
0.84463847,0.0,2019-05-15,525
0.8512103,0.0,2019-05-15,525
0.85448986,0.0,2019-05-15,525
0.86085856,0.0,2019-05-15,525
0.8542813,0.0,2019-05-15,525
0.87482506,0.0,2019-05-15,525
0.8372464,0.0,2019-05-15,525
0.85082394,0.0,2019-05-15,525
0.0,0.0,2019-05-15,526
0.0,0.0,2019-05-15,526
0.0,0.0,2019-05-15,526
0.0,0.0,2019-05-15,526
0.0,0.0,2019-05-15,526
0.0,0.0,2019-05-15,526
0.5778364,0.0,2019-05-15,526
0.0,0.0,2019-05-15,526
0.0,0.0,2019-05-15,526
0.0,0.0,2019-05-15,526
0.8622039,0.0,2019-05-15,527
0.86928964,0.0,2019-05-15,527
0.8939394,0.0,2019-05-15,527
0.8699046,0.0,2019-05-15,527
0.8687664,0.0,2019-05-15,527
0.8774489,0.0,2019-05-15,527
0.87763625,0.0,2019-05-15,527
0.8852014,0.0,2019-05-15,527
0.8687127,0.0,2019-05-15,527
0.8405405,0.0,2019-05-15,527
0.8520373,0.0,2019-05-15,528
0.839779,0.0,2019-05-15,528
0.84401757,0.0,2019-05-15,528
0.8356101,0.0,2019-05-15,528
0.8260251,0.0,2019-05-15,528
0.85412407,0.0,2019-05-15,528
0.8519528,0.0,2019-05-15,528
0.7977978,0.0,2019-05-15,528
0.83859646,0.0,2019-05-15,528
0.84629375,0.0,2019-05-15,528
0.82728595,0.0,2019-05-15,529
0.8309398,0.0,2019-05-15,529
0.83052105,0.0,2019-05-15,529
0.8192069,0.0,2019-05-15,529
0.8217822,0.0,2019-05-15,529
0.8211262,0.0,2019-05-15,529
0.81939304,0.0,2019-05-15,529
0.83154887,0.0,2019-05-15,529
0.82236004,0.0,2019-05-15,529
0.82564104,0.0,2019-05-15,529
0.7843807,0.0,2019-05-15,585
0.8000385,0.0,2019-05-15,585
0.82096803,0.0,2019-05-15,585
0.80126363,0.0,2019-05-15,585
0.7951298,0.0,2019-05-15,585
0.81288344,0.0,2019-05-15,585
0.8145571,0.0,2019-05-15,585
0.79723865,0.0,2019-05-15,585
0.81825083,0.0,2019-05-15,585
0.8165414,0.0,2019-05-15,585
0.8935177,0.0,2019-05-15,586
0.89509773,0.0,2019-05-15,586
0.88045883,0.0,2019-05-15,586
0.7351598,0.0,2019-05-15,586
0.8975132,0.0,2019-05-15,586
0.89413446,0.0,2019-05-15,586
0.8876405,0.0,2019-05-15,586
0.888499,0.0,2019-05-15,586
0.8963939,0.0,2019-05-15,586
0.87006676,0.0,2019-05-15,586
0.30252102,0.0,2019-05-15,587
0.406089,0.0,2019-05-15,587
0.2928994,61.505627,2019-05-15,587
0.33461353,0.0,2019-05-15,587
0.29411766,64.93722,2019-05-15,587
0.3074656,0.0,2019-05-15,587
0.29298753,64.93722,2019-05-15,587
0.33365476,0.0,2019-05-15,587
0.34971097,0.0,2019-05-15,587
0.2628516,55.44224,2019-05-15,587
0.306599,0.0,2019-05-15,588
0.33139816,0.0,2019-05-15,588
0.2967773,73.153,2019-05-15,588
0.31933594,0.0,2019-05-15,588
0.22718188,44.471703,2019-05-15,588
0.2598951,60.83671,2019-05-15,588
0.3279081,0.0,2019-05-15,588
0.31118143,0.0,2019-05-15,588
0.22285715,51.956573,2019-05-15,588
0.26099706,56.908768,2019-05-15,588
0.8444391,0.0,2019-05-30,525
0.8480214,0.0,2019-05-30,525
0.84992784,0.0,2019-05-30,525
0.8630007,0.0,2019-05-30,525
0.85955054,0.0,2019-05-30,525
0.85050696,0.0,2019-05-30,525
0.8605961,0.0,2019-05-30,525
0.86829597,0.0,2019-05-30,525
0.8479754,0.0,2019-05-30,525
0.85529107,0.0,2019-05-30,525
0.8435374,0.0,2019-05-30,526
0.8574163,0.0,2019-05-30,526
0.8595221,0.0,2019-05-30,526
0.8612324,0.0,2019-05-30,526
0.86048734,0.0,2019-05-30,526
0.8521058,0.0,2019-05-30,526
0.8496277,0.0,2019-05-30,526
0.8489545,0.0,2019-05-30,526
0.844798,0.0,2019-05-30,526
0.8534923,0.0,2019-05-30,526
0.8742555,0.0,2019-05-30,527
0.8659959,0.0,2019-05-30,527
0.8859935,0.0,2019-05-30,527
0.8655303,0.0,2019-05-30,527
0.8673399,0.0,2019-05-30,527
0.8800427,0.0,2019-05-30,527
0.8749724,0.0,2019-05-30,527
0.8763895,0.0,2019-05-30,527
0.8740509,0.0,2019-05-30,527
0.84416825,0.0,2019-05-30,527
0.81846637,0.0,2019-05-30,528
0.82420385,0.0,2019-05-30,528
0.8411872,0.0,2019-05-30,528
0.8276574,0.0,2019-05-30,528
0.8197871,0.0,2019-05-30,528
0.8449062,0.0,2019-05-30,528
0.8409877,0.0,2019-05-30,528
0.7960065,0.0,2019-05-30,528
0.8351871,0.0,2019-05-30,528
0.83712023,0.0,2019-05-30,528
0.7290371,0.0,2019-05-30,529
0.74057317,0.0,2019-05-30,529
0.6960325,0.0,2019-05-30,529
0.7059748,0.0,2019-05-30,529
0.7351809,0.0,2019-05-30,529
0.7429442,0.0,2019-05-30,529
0.7138238,0.0,2019-05-30,529
0.754466,0.0,2019-05-30,529
0.739815,0.0,2019-05-30,529
0.70400655,0.0,2019-05-30,529
0.6946688,0.0,2019-05-30,585
0.7159027,0.0,2019-05-30,585
0.70958906,0.0,2019-05-30,585
0.720995,0.0,2019-05-30,585
0.71949285,0.0,2019-05-30,585
0.7306308,0.0,2019-05-30,585
0.7176426,0.0,2019-05-30,585
0.70310336,0.0,2019-05-30,585
0.7127287,0.0,2019-05-30,585
0.70908386,0.0,2019-05-30,585
0.88422155,0.0,2019-05-30,586
0.8752793,0.0,2019-05-30,586
0.8711131,0.0,2019-05-30,586
0.8194525,0.0,2019-05-30,586
0.88712746,0.0,2019-05-30,586
0.88195616,0.0,2019-05-30,586
0.87494457,0.0,2019-05-30,586
0.88032717,0.0,2019-05-30,586
0.8874531,0.0,2019-05-30,586
0.8676404,0.0,2019-05-30,586
0.5135404,0.0,2019-05-30,587
0.7066796,0.0,2019-05-30,587
0.54627764,0.0,2019-05-30,587
0.57275844,0.0,2019-05-30,587
0.54029256,0.0,2019-05-30,587
0.5978526,0.0,2019-05-30,587
0.552671,0.0,2019-05-30,587
0.5863939,0.0,2019-05-30,587
0.5877043,0.0,2019-05-30,587
0.50855994,0.0,2019-05-30,587
