Год,GPS №,Тип обработки,Глубина,повторность,"рН солевой вытяжки, ед. рН","рН водной вытяжки, ед. рН","Фосфор (подвижная форма), мг/кг","Калий (подвижная форма), млн-1","Общий азот, %","Общий углерод, %","М.д. содержания  гипса (по Хитрову), %","Массовая доля иона хлорида, ммоль/100 г","Массовая доля иона сульфата, ммоль/100 г","Массовая доля магния (водорастворимая форма), ммоль/100 г почвы","Массовая доля кальция (водорастворимая форма), ммоль/100 г почвы","Массовая доля натрия (водорастворимая форма), мг•экв на 100 г почвы","Массовая доля калия (водорастворимая форма), мг•экв на 100 г почвы","Сумма поглощенных оснований по Каппену, ммоль/100 г","Массовая доля плотного остатка водной вытяжки, %","Карбонат и бикарбонат-ионы, ммоль/100 г","Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)","Массовая доля общего содержания карбонатов (по Козловскому), %(CaCO3)","Органический углерод, %"
2021,585,ТТ,0-10,[1],6.87,8.03,16.0,319.58253599999995,0.14,1.3374,1.5705454545454545,0.2384393063583814,0.613636363636364,0.1043958333333333,0.5815375000000002,0.0003029329999999,0.000757614,24.95,0.2424000000000319,0.02745,1.3199999999999996,3.001679999999999,0.9774
2021,585,ТТ,10-20,[1],6.96,8.16,12.2,231.218568,0.14,1.4004,1.4372121212121214,0.1734104046242774,0.613636363636364,0.0902208333333333,0.4502374999999999,0.0001913485,0.0003055065,24.95,0.2109999999999701,0.02745,1.3859999999999997,3.151763999999999,1.0224000000000002
2021,585,ТТ,20-30,[1],7.07,7.95,11.4,177.594816,0.13,1.571,1.303878787878788,0.130057803468208,0.613636363636364,0.0910958333333333,0.4499125,0.0001411855,0.0001785615,24.95,0.166499999999985,0.0305,2.772,6.303527999999998,0.8150000000000001
2021,585,ТТ,0-10,[2],,,27.4,409.400936,0.16,1.4592,1.6787878787878792,0.1192196531791907,1.1363636363636365,0.1020895833333333,0.5099375,0.00018132625,0.00082836975,,0.5419999999999447,0.028975,1.3969999999999996,3.176777999999999,1.0782000000000003
2021,585,ТТ,10-20,[2],7.12,7.96,7.8,267.064056,0.14,1.5442,1.318,0.1083815028901734,0.3194444444444445,0.09294375,0.4615625,0.0001400125,0.00035036625,24.95,0.1363333333333353,0.025925,1.7819999999999996,4.052267999999999,1.0582000000000003
2021,585,ТТ,20-30,[2],7.14,8.0,9.6,244.452936,0.15,1.5223,1.4533333333333334,0.065028901734104,0.2777777777777778,0.1014666666666666,0.4818624999999999,0.000162104,0.0003235245,24.900000000000002,0.1363333333333353,0.02745,2.288,5.202912,0.8983000000000001
2021,585,ТТ,0-10,[3],7.2,7.94,21.2,402.6344559999999,0.15,1.5589,1.324,0.065028901734104,0.1944444444444444,0.0905208333333333,0.4203625,0.0001378505,0.0006726915,24.95,0.0562500000000021,0.02745,1.3199999999999996,3.001679999999999,1.1989
2021,585,ТТ,10-20,[3],7.16,7.92,17.4,376.892936,0.16,1.5628,1.4546666666666668,0.0867052023121387,0.25,0.0827041666666666,0.3380625,0.0001162765,0.000571662,24.95,0.0606000000000079,0.0244,1.4079999999999997,3.201792,1.1788
2021,585,ТТ,20-30,[3],7.11,7.97,11.8,340.098696,0.15,1.5046,1.7186666666666668,0.1083815028901734,0.3055555555555556,0.092025,0.3489625,0.000150351,0.0005567055,24.85,0.1406666666666467,0.0244,1.3859999999999997,3.151763999999999,1.1266
2021,585,ТТ,0-10,[4],7.24,,19.6,383.63533600000005,0.16,1.5519,1.5853333333333337,0.1300578034682082,0.3055555555555556,0.1047666666666666,0.4932375,0.0002766555,0.000727389,24.95,0.11099999999999,0.03355,1.2979999999999996,2.951652,1.1979000000000002
2021,585,ТТ,10-20,[4],7.17,8.02,12.2,328.203176,0.15,1.561,1.7213333333333336,0.3034682080924861,0.25,0.08325,0.3945125,0.0001295015,0.0003984435,24.85,0.1806666666666482,0.02745,1.4739999999999998,3.3518759999999994,1.159
2021,585,ТТ,20-30,[4],7.3,7.97,9.4,223.238456,0.15,1.6093,1.586666666666667,0.1300578034682083,0.2777777777777778,0.107025,0.5308875,0.0001904285,0.0002441985,24.900000000000002,0.1363333333333353,0.0305,1.914,4.352436,1.0873
2021,586,ПП,0-10,[0],7.18,7.83,28.200000000000003,688.8011759999999,0.2,1.9424,1.0506666666666669,0.2167630057803475,0.3333333333333333,0.1007083333333333,0.4110125,0.0002046999999999,0.0016944525,24.95,0.1363333333333353,0.0305,1.804,4.102296,1.4504
2021,586,ПП,10-20,[0],7.16,8.34,14.6,598.9586959999999,0.13,1.3536,1.5546666666666669,0.4095,0.9444444444444446,0.1017833333333333,0.23137,0.000190187,0.0010500165,24.87,0.3375000000000128,0.0122,1.5179999999999998,3.451932,0.9396
2021,586,ПП,20-30,[0],7.2,8.19,19.8,600.909176,0.14,1.4224,1.5733333333333337,0.1819999999999999,0.5555555555555556,0.1063791666666666,0.2496325,0.000131215,0.0008836425,24.900000000000002,0.1818000000000239,0.01525,1.5399999999999996,3.501959999999999,1.0024000000000002
2021,586,ПП,30-40,[0],7.28,8.29,13.6,451.540936,0.13,1.2882,1.686666666666667,0.1365,0.9722222222222224,0.1002416666666666,0.221295,0.000108859,0.000664716,24.900000000000002,0.3516666666666168,0.01525,1.4299999999999995,3.2518199999999995,0.8982000000000001
2021,586,ПП,40-50,[0],,8.05,13.2,388.379096,0.13,1.1902,1.4880000000000002,0.364,2.333333333333333,0.1169625,0.2661949999999999,0.000132388,0.000639873,24.900000000000002,0.66599999999994,0.0122,1.2539999999999998,2.851596,0.8482
2021,586,ПП,50-70,[0],7.19,8.17,14.4,323.892856,0.15,1.4522,1.5413333333333334,0.2275,1.2222222222222223,0.1320916666666666,0.2598075,0.0001221989999999,0.00026023725,24.900000000000002,0.5419999999999447,0.0122,1.2539999999999998,2.851596,1.1101999999999999
2021,586,ПП,70-90,[0],7.08,8.43,12.6,357.41221600000006,0.16,1.4825,1.5466666666666666,0.4095,1.1111111111111112,0.14495625,0.286095,0.000155802,0.00023902125,24.95,0.4090000000000059,0.00915,0.9679999999999996,2.201231999999999,1.2185000000000001
