GPS №,Тип обработки,Год,Глубина,"рН солевой вытяжки, ед. рН","рН водной вытяжки, ед. рН","Фосфор (подвижная форма), мг/кг","Калий (подвижная форма), млн-1","Общий азот, %","Общий углерод, %","Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)","Органический углерод, %"
527,ПП,2020,10-20,7.37,8.27,7.79967159277504,268.44383999999997,0.16,1.5813,0.8579999999999997,1.3473
527,ПП,2020,20-30,7.37,8.28,7.307060755336616,223.464808,0.16,1.475,0.9679999999999996,1.2110000000000003
528,ПП,2020,0-10,7.15,8.23,9.770114942528737,338.7574400000001,0.17,1.5154,0.7039999999999998,1.3234000000000001
528,ПП,2020,10-20,7.16,8.21,8.784893267651888,320.6252,0.17,1.3075,0.6820000000000003,1.1215000000000002
528,ПП,2020,20-30,7.19,8.21,8.784893267651888,282.67512,0.17,1.262,0.5060000000000001,1.124
528,ПП,2020,0-10,7.3,8.58,9.770114942528737,344.8256,0.16,1.3457,0.66,1.1657
528,ПП,2020,10-20,7.41,8.35,11.247947454844006,331.2204,0.16,1.3473,0.6379999999999997,1.1733
528,ПП,2020,20-30,7.34,8.32,9.27750410509031,287.12992,0.16,1.2344,0.6285714285714282,1.0629714285714287
528,ПП,2020,0-10,7.3,8.33,7.79967159277504,290.6215200000001,0.17,1.3262,0.7479999999999997,1.1222
528,ПП,2020,10-20,7.33,8.48,14.69622331691297,306.61064,0.16,1.2879,1.7599999999999996,0.8079000000000002
528,ПП,2020,20-30,7.32,8.4,5.336617405582922,212.16647200000003,0.16,1.5338,0.9239999999999998,1.2818
528,ПП,2020,0-10,7.18,8.3,17.65188834154351,434.66808,0.18,1.4963,0.6379999999999997,1.3223
528,ПП,2020,10-20,7.21,8.34,11.74055829228243,327.19903999999997,0.16,1.2553,0.6819999999999995,1.0693000000000001
528,ПП,2020,20-30,7.27,8.61,10.755336617405579,277.90727999999996,0.16,1.406,0.7479999999999997,1.202
528,ПП,2020,0-10,7.2,8.12,12.233169129720853,454.77488,0.16,1.2724,0.5059999999999993,1.1344
528,ПП,2020,10-20,7.19,8.23,13.2183908045977,440.92888,0.17,1.2707,0.3959999999999993,1.1627
528,ПП,2020,20-30,7.24,8.31,10.755336617405579,368.54440000000005,0.17,1.4252,0.9459999999999994,1.1672000000000002
529,ТТ,2020,0-10,7.35,8.28,22.085385878489323,339.26312,0.16,1.4499,0.7919999999999995,1.2339000000000002
529,ТТ,2020,10-20,7.42,8.23,22.085385878489323,329.24584,0.16,1.5393,0.8139999999999998,1.3173
529,ТТ,2020,20-30,7.04,8.32,7.79967159277504,239.66824000000003,0.14,1.4057,0.9239999999999998,1.1537
529,ТТ,2020,0-10,7.26,8.16,20.607553366174052,291.6088000000001,0.19,1.6611,0.7260000000000002,1.4630999999999998
529,ТТ,2020,10-20,7.53,8.33,20.607553366174052,349.83423999999997,0.18,1.6485,0.8580000000000004,1.4144999999999999
529,ТТ,2020,20-30,7.23,8.33,12.233169129720853,217.53872,0.17,1.5413,1.0340000000000007,1.2592999999999996
529,ТТ,2020,0-10,7.14,8.37,28.981937602627248,287.10584,0.18,1.5821,0.8580000000000004,1.3481
529,ТТ,2020,10-20,6.87,8.33,23.5632183908046,265.07264000000004,0.18,1.5933,0.8360000000000002,1.3653
529,ТТ,2020,20-30,7.34,8.27,14.69622331691297,209.416536,0.16,1.5383,0.9680000000000004,1.2742999999999998
529,ТТ,2020,0-10,7.38,8.19,19.12972085385878,256.452,0.16,1.5755,0.9020000000000004,1.3295
529,ТТ,2020,10-20,7.07,8.27,18.144499178981942,222.55699199999998,0.16,1.5474,0.88,1.3074000000000001
529,ТТ,2020,20-30,7.4,8.21,9.770114942528737,200.88258400000004,0.15,1.6738,1.1880000000000004,1.3497999999999999
529,ТТ,2020,0-10,7.1,8.09,25.041050903119864,279.76144,0.17,1.6617,0.9240000000000006,1.4096999999999997
529,ТТ,2020,10-20,7.16,8.13,17.159277504105088,254.7664,0.15,1.6045,1.166,1.2865
529,ТТ,2020,20-30,7.07,8.18,11.74055829228243,200.80071200000003,0.14,1.6179,1.2320000000000004,1.2818999999999998
